Title,Date,Link,Listing Image URL,Article Image URL,Article Text
At least two cops martyred in Peshawar suicide blast,Updated 3 hours ago,https://www.geo.tv/latest/604084-at-least-two-cops-martyred-in-peshawar-blast,https://www.geo.tv/assets/front/images/placeholders/100x75.png,https://www.geo.tv/assets/uploads/updates/2025-05-11/604084_4214063_updates.jpg,"PESHAWAR: At least two cops including a sub-inspector (SI) were martyred in a suicide blast in Peshawar's Chamkani area, police officials said on Sunday. The officials said that the explosion was carried out near a police mobile van near Ring Road's Mandi, leaving two cops martyred and three others wounded. The Senior Superintendent Police (SSP) Operations confirmed that it was a suicide attack that targeted the police vehicle. The country witnessed a sharp increase in terror attacks in January 2025, surging by 42% compared to the previous month, according to data released by the Pakistan Institute for Conflict and Security Studies (PICSS), a think tank. The data revealed that at least 74 militant attacks were recorded nationwide, resulting in 91 fatalities, including 35 security personnel, 20 civilians, and 36 militants. Another 117 individuals sustained injuries, including 53 security forces personnel, 54 civilians, and 10 militants. Khyber Pakhtunkhwa (KP) remained the worst-affected province, followed by Balochistan. In KP’s settled districts, militants carried out 27 attacks, resulting in 19 fatalities, including 11 security personnel, six civilians, and two militants. The tribal districts of KP (erstwhile Fata) witnessed 19 attacks, leading to 46 deaths, including 13 security personnel, eight civilians, and 25 militants."
Indian journalist admits reporting fake news on live TV,"May 10, 2025",https://www.geo.tv/latest/603894-indian-journalist-admits-reporting-fake-news-on-live-tv,https://www.geo.tv/assets/front/images/placeholders/100x75.png,https://www.geo.tv/assets/uploads/updates/2025-05-10/603894_53529_updates.jpg,"As clashes flared between the Indian and Pakistani forces, New Delhi was slammed by experts, veteran Indian journalists and celebrities for the overwhelming spread of fake news about the events that unfolded. While India has not commented on the matter, an incident that occurred live on a prominent Indian news channel, NDTV, cast a shadow over the Indian media coverage of the clashes between the nuclear-armed neighbours. Earlier today, hours, after Pakistan launched its offensive against India, named Bunyan-um-Marsoos, an Indian reporter, made a startling ""slip-of-tongue"" during a live television broadcast. The reporter, who had joined the channel via video, accidentally confessed to reporting fake news during the span of the clashes. He stated that their superiors pressured them to give updates and, after airing fake news, they questioned reporters over it. ""First, they say, 'Give us an update! give us an update! then they air the fake news and ask us why we reported fake news,"" the visibly frustrated reporter said. The reporter concluded his remark with some inappropriate words and seemed to have been unaware that his microphone was switched on. This admission provides stark evidence of the misinformation being disseminated by the Indian media during a highly sensitive and volatile conflict."
WATCH: Pakistan destroys India's S-400 system in Adampur,"May 10, 2025",https://www.geo.tv/latest/603939-watch-pakistan-destroys-indias-s-400-system-in-adampur,https://www.geo.tv/assets/front/images/placeholders/100x75.png,,"ISLAMABAD: Following Indian missile attack in Pakistan targeting airbases,  the Pakistan Air Force, using its JF-17 thunder jets, have destroyed India’s S-400 air defence system in Adampur by using hypersonic missiles. The S-400 system, valued at around $1.5 billion, was considered one of India’s most advanced defence assets. In another major strike, a key Indian Military Intelligence training centre in Rajouri, involved in planning terrorist activities in Pakistan, has also been neutralised. Through Indian media reports, India’s Sirsa Airfield — a critical military base — has been damaged. Pakistani drones were spotted flying over Gujarat, the home state of Indian Prime Minister Narendra Modi, triggering serious concern in the area. The latest escalation in the decades-old Pakistan-India rivalry began on May 7 when at least 31 civilians, including children, were killed in an unprovoked Indian cross-border attack. In retaliation, Pakistan downed five IAF fighter jets, including three Rafale, and dozens of drones. During the escalation, India sent drones into Pakistani territory, with the military shooting down nearly 80, including Israeli-made IAI Heron — medium-altitude, long-endurance — unmanned aerial vehicles (UAVs). Earlier on Friday night, India launched multiple missile attacks on Pakistani airbases, including the Noor Khan, Murid, and Shorkot airbases, which were fired from aircraft, according to Director General Inter-Services Public Relations (DG ISPR), Lieutenant General Ahmed Sharif Chaudhry. In response, Pakistan said it launched a military operation against India early on Saturday, targeting multiple military bases, including a missile storage site in northern India, as the neighbours extended their worst fighting in nearly three decades. Subsequently, President Donald Trump said on Saturday that India and Pakistan had agreed to a ""full and immediate ceasefire"" after a fourth day of strikes and counter-strikes against each other's military installations. ""After a long night of talks mediated by the United States, I am pleased to announce that India and Pakistan have agreed to a FULL AND IMMEDIATE CEASEFIRE. Congratulations to both Countries on using Common Sense and Great Intelligence,"" Trump said in a post on Truth Social."
"Pakistan's powerful strikes forced India to seek US mediation, reveals American journalist","May 10, 2025",https://www.geo.tv/latest/603956-pakistans-powerful-strikes-forced-india-to-seek-us-mediation-reveals-american-journalist,https://www.geo.tv/assets/front/images/placeholders/100x75.png,https://www.geo.tv/assets/uploads/updates/2025-05-10/603956_4246891_updates.jpg,"Hours after New Delhi and Islamabad agreed to ceasefire after mediation from US President Donald Trump, CNN journalist Nic Robertson revealed that Pakistan’s powerful retaliatory strikes in response to Indian aggression pushed India into an urgent retreat, leading to a ceasefire. ""When India attacked three Pakistani airbases, Pakistan responded with a relentless, massive barrage of missiles and rockets... into Indian military facilities, airbases, and weapons storage sites,"" Robertson said while speaking to CNN . ""That really put India on the back foot — they didn’t know what had happened,"" he added. The latest escalation in the decades-old Pakistan-India rivalry began on May 7 when at least 31 civilians, including children, were killed in an unprovoked Indian cross-border attack. In retaliation, Pakistan downed five IAF fighter jets, including three Rafale, and dozens of drones. During the escalation, India sent drones into Pakistani territory, with the military shooting down nearly 80, including Israeli-made IAI Heron — medium-altitude, long-endurance — unmanned aerial vehicles (UAVs). Earlier on Friday night, India launched multiple missile attacks on Pakistani airbases, including the Noor Khan, Murid, and Shorkot airbases, which were fired from aircraft, according to Director General Inter-Services Public Relations (DG ISPR), Lieutenant General Ahmed Sharif Chaudhry. In response, Pakistan launched ""Operation Bunyan-um-Marsoos"" against India early on Saturday, targeting multiple military bases, including a missile storage site in northern India. Subsequently, President Donald Trump said that India and Pakistan had agreed to a ""full and immediate ceasefire"" after a fourth day of strikes and counter-strikes against each other's military installations. ""After a long night of talks mediated by the United States, I am pleased to announce that India and Pakistan have agreed to a FULL AND IMMEDIATE CEASEFIRE. Congratulations to both Countries on using Common Sense and Great Intelligence,"" Trump said in a post on Truth Social. Robertson, while taking to CNN today, cited a source who was present during high-level negotiations, revealing that Pakistan was sort of on a ""military pause"" to give a window for diplomacy. ""What I understand from this source is that that was blown out of the window when India attacked three airbases,"" he added. In response, the journalist added, Pakistan unleashed its full military capability, prompting New Delhi to seek immediate mediation through US Secretary of State Marco Rubio, Saudi Arabia, and Turkish officials. Despite multiple flare-ups throughout the day, he said the ceasefire was finally brokered after intense international diplomatic pressure. ""The ceasefire was described by sources as a now or never moment,"" he added. The CNN journalist also noted that water rights remain a critical issue for Pakistan moving forward. ""The key issue for Pakistan going forward is water,"" Robertson said, quoting a source. ""But for now, this is a ceasefire — everything will work out from there."""
"Pakistan thanks global powers for ceasefire, warns India against aggression","May 10, 2025",https://www.geo.tv/latest/603928-pakistan-thanks-global-powers-for-ceasefire-warns-india-against-aggression,https://www.geo.tv/assets/front/images/placeholders/100x75.png,https://www.geo.tv/assets/uploads/updates/2025-05-10/603928_1417838_updates.jpg,"Pakistan and India have formally agreed to a ceasefire following days of heightened tensions, Deputy Prime Minister and Foreign Minister Ishaq Dar confirmed on Saturday evening. Speaking to Geo News , moments after United States President Donald Trump announced a US-backed ceasefire, Dar said both sides have agreed to halt hostilities starting 4:30pm today. Dar, a seasoned politician, said Pakistan had always been open to a ceasefire but made it clear that any future aggression by India would be met with a firm response. He extended gratitude to all countries that played a role in brokering the ceasefire, especially acknowledging efforts by US Secretary of State Marco Rubio. Dar added that diplomatic efforts had been ongoing throughout the day, which eventually led to the agreement this morning. “Pakistan has always worked for regional peace without compromising its sovereignty,” he remarked. On the Indian side, Foreign Secretary Vikram Misri also confirmed the ceasefire, reported Indian media. He said all military actions would be suspended and that Directors General of Military Operations (DGMOs) from both sides would hold talks on May 12. ""In the talks, both sides agreed on a ceasefire in land, sea and air from this evening,"" said Misri. Rubio, in a statement regarding the ceasefire, said that the US Vice President JD Vance had been in contact with senior Pakistani and Indian officials for the past 48 hours. ""I am pleased to announce that Pakistan and India have agreed to an immediate ceasefire,"" the US secretary of state stated. He added that both countries will now hold talks on a wide range of issues at a neutral venue. Sources told Geo News that Prime Minister Shehbaz Sharif will address the nation to take the nation into confidence regarding the Pakistan-India ceasefire. Meanwhile, following the ceasefire, Pakistan's airspace has been fully restored for all types of flights, the spokesperson for the Pakistan Airports Authority (PAA) confirmed. ""All airports in the country available for normal flight operations,"" said the spokesperson. Passengers have been advised by PAA to contact the concerned airline to check the latest flight schedule. This is a developing story and is being updated with more details."
World leaders welcome Pakistan-India ceasefire,"May 10, 2025",https://www.geo.tv/latest/603950-world-leaders-welcome-pakistan-india-ceasefire,https://www.geo.tv/assets/front/images/placeholders/100x75.png,https://www.geo.tv/assets/uploads/updates/2025-05-10/603950_3835577_updates.jpg,"US President Donald Trump said on Saturday that India and Pakistan had agreed to a ""full and immediate ceasefire"" after days of strikes and counter-strikes against each other's military installations. This is what global leaders have said about the latest development between the nuclear-armed neighbours: ""After a long night of talks mediated by the United States, I am pleased to announce that India and Pakistan have agreed to a FULL AND IMMEDIATE CEASEFIRE. Congratulations to both countries on using common sense and great intelligence. Thank you for your attention to this matter!"" US Secretary of State Marco Rubio ""I am pleased to announce the Governments of India and Pakistan have agreed to an immediate ceasefire and to start talks on a broad set of issues at a neutral site. We commend Prime Ministers Modi and Sharif on their wisdom, prudence, and statesmanship in choosing the path of peace."" Bangladesh Interim leader Muhammad Yunus ""I most sincerely commend Prime Minister Shri Narendra Modi of India and Prime Minister Shehbaz Sharif of Pakistan for agreeing to a ceasefire with immediate effect and to engage in talks. Bangladesh will continue to support our two neighbours to resolve differences through diplomacy."" EU Foreign policy chief Kaja Kallas ""The announced ceasefire between India and Pakistan is a vital step toward de-escalation. All efforts must be made to ensure it is respected. The EU remains committed to peace, stability, and counter-terrorism in the region."" British Foreign Minister David Lammy ""Today's ceasefire between India and Pakistan is hugely welcome. I urge both parties to sustain this. De-escalation is in everybody's interest."" Prince Rahim Al-Hussaini ""I am pleased to see that ceasefire has been agreed upon. I pray that both countries will work to resolve issues that date back to 1947 through dialogue and peaceful means"" German Foreign Office Germany on Saturday welcomed as a first step the full and immediate ceasefire agreed to by India and Pakistan after days of deadly attacks. ""The ceasefire agreed between #India and #Pakistan is a first, important step out of the escalation spiral. Dialogue is key,"" the German foreign office said in a post on the X social media. Saudi Arabia’s Foreign Ministry Saudi Arabia welcomes the ceasefire agreement between Islamabad and New Delhi. In a statement, the spokesperson of Riyadh’s Foreign Ministry expressed hope that it will restore security and peace in the region. Meanwhile, Deputy Prime Minister Ishaq Dar received a telephone call from Saudi Minister of State for Foreign Affairs Adel Al Jubeir, who welcomed the ceasefire understanding between Pakistan and India. PM Shehbaz Sharif Taking to his X handle, Prime Minister Shehbaz Sharif thanked US President Trump for his leadership and proactive role for peace in the region . — With additional input from AFP."
Pakistanis flood streets in patriotic fervor after befitting response to India,"May 10, 2025",https://www.geo.tv/latest/603969-pakistanis-flood-streets-in-patriotic-fervor-after-befitting-response-to-india,https://www.geo.tv/assets/front/images/placeholders/100x75.png,,
In pictures: From interception to retaliation — how Pakistan commanded a truce,"May 10, 2025",https://www.geo.tv/latest/603942-in-pictures-from-interception-to-retaliation-how-pakistan-compelled-a-truce,https://www.geo.tv/assets/front/images/placeholders/100x75.png,,
"Pakistan paid in same coin which India knew very well, says PM Shehbaz after ceasefire","May 11, 2025",https://www.geo.tv/latest/603987-pakistan-paid-in-same-coin-which-india-knew-very-well-says-pm-shehbaz-after-ceasefire,https://www.geo.tv/assets/front/images/placeholders/100x75.png,https://www.geo.tv/assets/uploads/updates/2025-05-11/603987_8392759_updates.jpg,"As New Delhi and Islamabad agreed to ""full and immediate"" ceasefire after days of military strikes, Prime Minister Shehbaz Sharif asserted that Pakistan made a deliberate decision to pay in the same coin ""which their enemy knew very well — with force"". ""Pakistan made it clear that the negotiations, which ought to take place at a table, would now be held on the battlefield,"" the premier said while addressing the nation on Saturday night. The latest escalation in the decades-old Pakistan-India rivalry began on May 7 when at least 31 civilians, including children, were killed in an unprovoked Indian cross-border attack. In retaliation, Pakistan downed five IAF fighter jets, including three Rafales, and dozens of drones. During the escalation, India sent drones into Pakistani territory, with the military shooting down nearly 80, including Israeli-made IAI Heron — medium-altitude, long-endurance — unmanned aerial vehicles (UAVs). Earlier on Friday night, India launched multiple missile attacks on Pakistani airbases, including the Nur Khan, Murid, and Shorkot airbases, which were fired from aircraft, according to Director General Inter-Services Public Relations (DG ISPR), Lieutenant General Ahmed Sharif Chaudhry. In response, Pakistan launched ""Operation Bunyan-um-Marsoos"" against India early on Saturday, targeting multiple military bases, including a missile storage sites in India. Subsequently, President Donald Trump said that Pakistan and India had agreed to a ""full and immediate ceasefire"" after days of strikes and counter-strikes against each other's military installations. ""After a long night of talks mediated by the United States, I am pleased to announce that India and Pakistan have agreed to a FULL AND IMMEDIATE CEASEFIRE. Congratulations to both Countries on using Common Sense and Great Intelligence,"" Trump said in a post on Truth Social. Taking the nation into confidence on regional security today, PM Shehbaz said that considering the regional peace and the lives of millions of people living in this region, Pakistan, as a responsible state, gave a positive response to a ceasefire. He expressed the hope that all the outstanding issues, including the water distribution, the Jammu and Kashmir dispute and all other unresolved issues, would now be settled by holding negotiations and by adopting a peaceful path. The prime minister congratulated the entire nation from the core of his heart that they proved to the world their self-esteem and respect, which were dearer to them than their lives, adding, “If anyone challenges the sovereignty, they stand like an iron wall and overpower their enemies.” “What the enemy did was a cowardly and shameful act, a naked aggression,” but the brave and bold forces, with a display of professionalism, gave a very effective response which would always be remembered as a chapter in modern warfare. He said on the pretext of the Pahalgam incident, India tried to drag Pakistan into a war, even though, without any delay, they had offered cooperation for an impartial and transparent global probe. In the face of a flurry of false allegations and accusations, Pakistan showed restraint and patience, he said, adding India tried to infiltrate territories with drones and missile attacks upon innocent people, mosques and civilians besides, tried their patience with botched attacks on military installations and water resources. He commended the armed forces of Pakistan, whose Jawans were alien to the word of ‘defeat’. Within a few hours, he said their forces silenced the enemy’s guns and the world would remember how they turned the enemy’s air bases, installations and stockpiles into ashes. ""Rafale also failed in the encounter.” The prime minister said that their fight was against that old mind frame of religious bigotry. “It is a victory for truth and our principles,” he said, adding that they did to an enemy what deemed fit by a respected nation. ""The 240 million people of the country showered their love and affection upon their valiant armed forces and stood side by side with them during the conflict,"" he added. He also thanked the nation for their prayers for the success of their armed forces and said that as a result, Allah Almighty had bestowed upon them a tremendous victory. On this historic victory, he paid tribute to Chairman Joint Chiefs of Staff Committee General Sahir Shamshad Mirza, Chief of Army Staff General Syed Asim Munir, Air Chief Marshal Zaheer Ahmed Babar Sidhu, Naval Chief Admiral Naveed Ashraf and every officer and personnel of the armed forces. The prime minister expressed gratitude to General Syed Asim Munir, on his behalf and on behalf of the entire nation, for his sagacious and bold leadership that led to victory, besides appreciating the Air Chief and his eagles who had made them proud. The prime minister thanked US President Trump for his sincere role in the ceasefire. He also thanked the Kingdom of Saudi Arabia, UAE, Turkiye, Qatar, the UK, UN Secretary General and others who played their due role in the ceasefire. The premier especially mentioned Crown Prince Mohammad bin Salman, Mohamed bin Zayed, Emir of Qatar Sheikh Tamim bin Hamad and President Tayyip Erdogan, who stood with Pakistan like brothers. He expressed gratitude to the Chinese leadership, including President Xi Jinping and the Chinese people, for their unprecedented and historic support. The prime minister also remembered Irtaza Abbas Shaheed, who embraced shahadat during the Indian aggression and expressed sympathies with the bereaved families who lost their members. The prime minister thanked all the allied and opposition parties and the entire political leadership and parliament for their unprecedented unity and solidarity, and also mentioned his leader, Nawaz Sharif for his wise leadership and experience, besides President Asif Ali Zardari for his valuable consultations. The prime minister appreciated the mediapersons and social media users who had countered Indian fake news with responsible reporting and display of professional integrity and hoped that the set precedent would be a guiding path in the future. Expressing his firm belief, he said after overcoming this crisis, all the governments and institutions would focus their energies on the progress and prosperity of Pakistan and would not rest till the country carves a niche among the comity of nations."
India's strategy crumbled against Pakistan's composure: Khawaja Asif,"May 11, 2025",https://www.geo.tv/latest/603985-indias-strategy-crumbled-against-pakistans-composure-khawaja-asif,https://www.geo.tv/assets/front/images/placeholders/100x75.png,https://www.geo.tv/assets/uploads/updates/2025-05-11/603985_2691309_updates.jpg,"Following a US-brokered ceasefire understanding between nuclear-armed Pakistan and India, Defence Minister Khawaja Asif said on Saturday that India expected a weak response, but its strategy crumbled before Pakistan’s calm and calculated response. “The myth of Indian’s arrogance has vanished into thin air,” he said, adding that India thought that it would bring Pakistan to the negotiating table on their own terms through military aggression. Speaking of dialogue, he stated that matters related to the Indus Waters Treaty (IWT), terrorism and Indian Illegally Occupied Jammu and Kashmir (IIOJK) would be discussed in potential talks with New Delhi. His remarks came after reports started circulating on social and mainstream media that IWT — a key water-sharing pact between India and Pakistan — will remain suspended, despite the countries reaching a ceasefire agreement. The IWT, mediated by the World Bank in 1960, regulates the division of water from the Indus River and its tributaries between the South Asian nations. India pulled out of it last month after a deadly attack targeting tourists in Pahalgam, (IIOJK). India accused Pakistan of being involved in the attack, while  Islamabad denied its involvement in the violence and had said it was preparing international legal action over the suspension of the treaty, which ensures water for 80% of its farms. Speaking on Geo News today, the defence minister said: “These are the three major issues [IWT, terrorism and Kashmir] that can be discussed as of now.” He said, probably, India was not expecting such a response from Islamabad as the armed forces of Pakistan stunned the Indian forces in the four-day clashes. The latest escalation in the decades-old Pakistan-India rivalry began on May 7 when at least 31 civilians, including children, were killed in an unprovoked Indian cross-border attack. In retaliation, Pakistan downed five IAF fighter jets, including three Rafale, and dozens of drones. During the escalation, India sent drones into Pakistani territory, with the military shooting down nearly 80, including Israeli-made IAI Heron — medium-altitude, long-endurance — unmanned aerial vehicles (UAVs). In the wee hours of Saturday, the Pakistan army launched ""Operation Bunyan-um-Marsoos"", targeting multiple Indian military installations, according to security sources. Referring to India’s defeat during the recent clashes, the defence czar said Pakistan had dispelled Indian misconceptions about power. “India was gripped by the hubris of power, but its arrogance has collapsed in the face of Pakistan’s composed and strategic response,” the minister added. Responding to a question, the minister said that Islamabad repeatedly asked New Delhi to provide evidence in support of their allegation against Pakistan in the backdrop of the Pahalgam. Instead of providing evidence, India attacked Pakistan, he said, adding that New Delhi’s credibility had come into question due to its behaviour. The minister said that the international community appreciated Pakistan’s stance on the matter. He emphasised that Pakistan maintained restraint throughout the episode, kept its threshold low, and prioritised peace without compromising its presence or security. “India’s military and diplomatic assessments have been proven wrong. Their narrative has found no acceptance globally due to their failure to provide evidence or allow impartial investigation,” he said. He further said that India failed to secure backing from a single country. “We hope India, and particularly its leadership, will one day prioritise the region’s future over party interests. Peaceful coexistence based on equality is key to South Asia’s progress,” he added. — With additional input from APP."
